subj,trial,block,practice,condition,sex,age,date,data_file,texture_id,stim_order,diameter,opening,spacing,response,rt
9,0,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial0_PRACTICE.csv,E007,0,200.0,20.0,220.0,True,3.6
9,0,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial0_PRACTICE.csv,E047,1,140.0,140.0,280.0,False,3.6
9,1,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial1_PRACTICE.csv,E063,0,80.0,200.0,280.0,True,10.131
9,1,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial1_PRACTICE.csv,E005,1,380.0,20.0,400.0,False,10.131
9,2,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial2_PRACTICE.csv,E083(S38),0,107.0,27.0,134.0,False,10.864
9,2,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial2_PRACTICE.csv,E019,1,440.0,140.0,580.0,True,10.864
9,3,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial3_PRACTICE.csv,E058,0,50.0,80.0,130.0,False,10.512
9,3,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial3_PRACTICE.csv,E068,1,20.0,80.0,100.0,True,10.512
9,4,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial4_PRACTICE.csv,E052,0,260.0,320.0,580.0,True,0.784
9,4,0,True,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block0_trial4_PRACTICE.csv,E054,1,200.0,260.0,460.0,False,0.784
9,0,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial0.csv,E042,0,380.0,320.0,700.0,True,8.264
9,0,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial0.csv,E067,1,80.0,320.0,400.0,False,8.264
9,1,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial1.csv,E076(S43),0,50.0,50.0,100.0,True,7.165
9,1,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial1.csv,E059,1,80.0,140.0,220.0,False,7.165
9,2,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial2.csv,E064,0,50.0,140.0,190.0,True,7.116
9,2,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial2.csv,E075(S42),1,20.0,20.0,40.0,False,7.116
9,3,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial3.csv,E022,0,380.0,140.0,520.0,False,7.149
9,3,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial3.csv,E021,1,560.0,200.0,760.0,True,7.149
9,4,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial4.csv,E019,0,440.0,140.0,580.0,False,5.896
9,4,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial4.csv,E011,1,440.0,80.0,520.0,True,5.896
9,5,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial5.csv,E027,0,170.0,80.0,250.0,False,7.114
9,5,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial5.csv,E057,1,200.0,320.0,520.0,True,7.114
9,6,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial6.csv,E026,0,440.0,200.0,640.0,True,5.748
9,6,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial6.csv,E014,1,320.0,80.0,400.0,False,5.748
9,7,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial7.csv,E078(S45),0,80.0,110.0,190.0,False,4.949
9,7,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial7.csv,E040,1,260.0,200.0,460.0,True,4.949
9,8,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial8.csv,E001,0,560.0,20.0,580.0,True,6.498
9,8,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial8.csv,E058,1,50.0,80.0,130.0,False,6.498
9,9,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial9.csv,E032,0,440.0,260.0,700.0,True,6.115
9,9,1,False,rug,f,20,2022-11-15 10:24:14.731452,results/221115_10.24_data_subj9_block1_trial9.csv,E065,1,80.0,260.0,340.0,False,6.115
