subj,trial,block,practice,condition,sex,age,date,data_file,texture_id,stim_order,diameter,opening,spacing,response,rt
21,0,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial0_PRACTICE.csv,E015,0,560.0,140.0,700.0,False,27.64
21,0,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial0_PRACTICE.csv,E079(S41),1,50.0,110.0,160.0,True,27.64
21,1,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial1_PRACTICE.csv,E009,0,560.0,80.0,640.0,False,10.133
21,1,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial1_PRACTICE.csv,E045,1,260.0,260.0,520.0,True,10.133
21,2,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial2_PRACTICE.csv,E043,0,320.0,260.0,580.0,False,11.658
21,2,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial2_PRACTICE.csv,E058,1,50.0,80.0,130.0,True,11.658
21,3,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial3_PRACTICE.csv,E016,0,500.0,140.0,640.0,False,10.512
21,3,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial3_PRACTICE.csv,E081(S03),1,107.0,210.0,317.0,True,10.512
21,4,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial4_PRACTICE.csv,E078(S45),0,80.0,110.0,190.0,True,1.167
21,4,0,True,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block0_trial4_PRACTICE.csv,E050,1,320.0,320.0,640.0,False,1.167
21,0,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial0.csv,E063,0,80.0,200.0,280.0,False,11.081
21,0,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial0.csv,E077(S32),1,110.0,110.0,220.0,True,11.081
21,1,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial1.csv,E037,0,200.0,140.0,340.0,False,9.928
21,1,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial1.csv,E073(S18),1,797.0,116.0,913.0,True,9.928
21,2,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial2.csv,E081(S03),0,107.0,210.0,317.0,False,10.012
21,2,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial2.csv,E006,1,260.0,20.0,280.0,True,10.012
21,3,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial3.csv,E074(S39),0,110.0,50.0,160.0,True,9.179
21,3,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial3.csv,E059,1,80.0,140.0,220.0,False,9.179
21,4,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial4.csv,E053,0,110.0,140.0,250.0,False,9.298
21,4,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial4.csv,E017,1,170.0,50.0,220.0,True,9.298
21,5,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial5.csv,E049,0,80.0,80.0,160.0,False,11.347
21,5,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial5.csv,E012,1,380.0,80.0,460.0,True,11.347
21,6,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial6.csv,E039,0,440.0,320.0,760.0,True,9.53
21,6,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial6.csv,E067,1,80.0,320.0,400.0,False,9.53
21,7,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial7.csv,E007,0,200.0,20.0,220.0,True,8.764
21,7,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial7.csv,E063,1,80.0,200.0,280.0,False,8.764
21,8,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial8.csv,E040,0,260.0,200.0,460.0,False,9.913
21,8,1,False,soft,f,22,2022-11-23 13:37:37.517963,results/221123_13.37_data_subj21_block1_trial8.csv,E001,1,560.0,20.0,580.0,True,9.913
